agencia;conta;saldo;status
4236;0106-5;892,2;I
6200;3187-4;762,44;P
4957;6504-1;410,65;B
7453;9288-8;786,76;P
4236;1510-1;801,8;P
9820;0393-4;6,07;A
3798;3078-6;201,13;I
6314;2283-8;84,73;P
3513;5347-2;609,27;I
7554;6799-9;148,72;P
8277;0827-7;284,85;P
3342;4069-1;447,32;P
6631;4459-7;899,94;P
0034;5002-0;777,63;I
4217;4325-7;538,97;P
8619;5428-1;509,48;P
4140;7889-3;974,67;P
9120;6743-7;232,24;I
9327;1991-6;180,35;I
1844;0120-6;930,46;P
8962;7478-6;2,57;P
0736;7693-9;819,21;P
4686;4384-0;427,68;P
6357;9664-2;602,65;I
9874;6308-3;74,41;P
3965;6805-9;846,93;B
5081;0249-7;580,79;I
9639;3226-2;654,56;I
7570;3190-5;993,42;P
5863;6385-9;518,62;P
7561;8847-0;753,14;B
9707;2015-0;214,69;P
0805;5510-2;63,99;P
9059;3156-2;959,54;I
9906;7920-1;519,16;P
0412;9441-8;766,14;I
5197;3200-5;790,43;P
7142;9040-7;850,09;A
3496;8377-3;626,38;P
1193;7200-2;490,13;A
7341;7343-3;714,4;I
6333;3242-6;344,69;B
4755;4050-4;505,41;P
3989;5282-3;762,06;I
0685;9776-0;680,12;A
5736;9946-2;201,48;P
5739;5897-9;927,78;I
4311;5151-3;590,28;P
8621;7155-0;117,65;P
0994;3074-2;494,53;B
7436;9174-5;113,64;I
1084;7956-0;305,17;P
5065;4900-2;601,17;P
4963;7909-5;165,51;P
1281;5030-3;798,98;B
7675;1196-3;79,55;I
6337;7319-9;630,04;P
8737;3202-5;464,15;I
1553;0224-0;764,39;B
1491;7470-7;109,35;P
4029;0774-7;187,87;I
0096;5350-7;967,63;A
6692;9188-7;37,73;P
7843;1730-4;18,84;P
9576;4996-9;133,96;P
5988;9741-8;438,22;P
3765;4301-5;75,05;B
5607;7147-6;341,9;B
6786;3175-0;697,76;A
2646;8728-3;760,96;P
2626;3593-0;411,02;I
8785;4665-8;394,63;P
9735;5215-7;887,09;I
6718;9432-6;135,39;I
4793;4017-7;732,54;P
8430;7311-9;541,56;P
8731;1097-2;749,21;P
1427;6257-1;69,53;P
7710;4036-5;782,35;I
5897;4712-5;693,45;P
1381;2023-6;757,29;I
4622;0699-7;761,22;I
5176;4202-5;231,64;P
6348;3706-4;74,02;I
5820;0432-8;234,3;P
5907;0519-7;632,93;I
2592;9330-6;864,86;A
